,סמל ועדה,מצביעים,פסולים,מחוז,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,מרחב משטרה,אשכול רשויות מקומיות,label
72,4,210,0,2,221.0,6.0,0.0,1.0,410.0,400.0,1.0,1941.0,330,15.0,2515173475.0,-8.0,10004552.0,214.0,False
224,4,208,0,2,221.0,6.0,0.0,1.0,410.0,400.0,1.0,1941.0,330,15.0,2515173475.0,-8.0,10004552.0,214.0,False
73,5,614,1,2,237.0,9.0,242.0,1.0,1115.0,1108.0,0.0,1980.0,310,1.0,2208574025.0,160.0,10004497.0,213.0,False
794,5,641,0,2,237.0,9.0,242.0,1.0,1115.0,1108.0,0.0,1980.0,310,1.0,2208574025.0,160.0,10004497.0,213.0,False
74,19,716,2,7,0.0,72.0,0.0,1.0,1946.0,1945.0,0.0,1979.0,370,11.0,2314668228.0,551.0,10003262.0,0.0,False
1034,19,727,1,7,0.0,72.0,0.0,1.0,1946.0,1945.0,0.0,1979.0,370,11.0,2314668228.0,551.0,10003262.0,0.0,False
75,2,1647,6,7,0.0,76.0,445.0,1.0,3151.0,3148.0,0.0,1970.0,190,0.0,2120261805.0,927.0,15000586.0,0.0,False
1040,2,1644,3,7,0.0,76.0,445.0,1.0,3151.0,3148.0,0.0,1970.0,190,0.0,2120261805.0,927.0,15000586.0,0.0,False
76,5,530,0,2,237.0,9.0,242.0,1.0,991.0,990.0,0.0,1948.0,320,6.0,2162873720.0,120.0,10004411.0,213.0,False
305,5,526,1,2,237.0,9.0,242.0,1.0,991.0,990.0,0.0,1948.0,320,6.0,2162873720.0,120.0,10004411.0,213.0,False
77,3,152,0,2,292.0,71.0,0.0,1.0,445.0,444.0,0.0,1981.0,320,2.0,2786977222.0,930.0,10004579.0,211.0,False
1152,3,166,0,2,292.0,71.0,0.0,1.0,445.0,444.0,0.0,1981.0,320,2.0,2786977222.0,930.0,10004579.0,211.0,False
78,9,23,0,3,324.0,14.0,0.0,1.0,302.0,221.0,4.0,1949.0,340,0.0,2006271295.0,54.0,10004333.0,0.0,False
648,9,28,0,3,324.0,14.0,0.0,1.0,302.0,221.0,4.0,1949.0,340,0.0,2006271295.0,54.0,10004333.0,0.0,False
79,5,376,1,2,235.0,9.0,242.0,1.0,504.0,494.0,0.0,1938.0,330,15.0,2139173611.0,70.0,10004411.0,213.0,False
185,5,397,1,2,235.0,9.0,242.0,1.0,504.0,494.0,0.0,1938.0,330,15.0,2139173611.0,70.0,10004411.0,213.0,False
80,4,222,3,2,294.0,71.0,0.0,1.0,401.0,385.0,0.0,1968.0,310,1.0,2691974579.0,346.0,10004579.0,211.0,False
1138,4,214,0,2,294.0,71.0,0.0,1.0,401.0,385.0,0.0,1968.0,310,1.0,2691974579.0,346.0,10004579.0,211.0,False
81,17,197,1,6,612.0,50.0,0.0,1.0,427.0,427.0,0.0,2013.0,370,0.0,1934260408.0,335.0,10001813.0,0.0,False
929,17,166,0,6,612.0,50.0,0.0,1.0,427.0,427.0,0.0,2013.0,370,0.0,1934260408.0,335.0,10001813.0,0.0,False
82,10,1958,2,4,411.0,99.0,141.0,1.0,3486.0,3446.0,3.0,1950.0,190,0.0,1931870156.0,25.0,10004261.0,0.0,False
22,10,1983,11,4,411.0,99.0,141.0,1.0,3486.0,3446.0,3.0,1950.0,190,0.0,1931870156.0,25.0,10004261.0,0.0,False
83,18,74,1,6,625.0,53.0,0.0,1.0,152.0,119.0,7.0,1982.0,330,15.0,2007941184.0,112.0,10001955.0,0.0,False
849,18,68,0,6,625.0,53.0,0.0,1.0,152.0,119.0,7.0,1982.0,330,15.0,2007941184.0,112.0,10001955.0,0.0,False
84,3,349,1,2,213.0,55.0,0.0,1.0,633.0,626.0,0.0,1949.0,310,1.0,2515276149.0,284.0,10004540.0,211.0,False
524,3,334,0,2,213.0,55.0,0.0,1.0,633.0,626.0,0.0,1949.0,310,1.0,2515276149.0,284.0,10004540.0,211.0,False
85,5,423,3,2,236.0,13.0,0.0,1.0,888.0,879.0,0.0,1949.0,310,1.0,2065872642.0,209.0,10004394.0,213.0,False
481,5,425,5,2,236.0,13.0,0.0,1.0,888.0,879.0,0.0,1949.0,310,1.0,2065872642.0,209.0,10004394.0,213.0,False
86,10,350,0,4,411.0,16.0,141.0,1.0,733.0,727.0,0.0,1933.0,310,7.0,1917069855.0,10.0,15000060.0,0.0,False
131,10,353,1,4,411.0,16.0,141.0,1.0,733.0,727.0,0.0,1933.0,310,7.0,1917069855.0,10.0,15000060.0,0.0,False
87,19,632,5,4,421.0,20.0,142.0,1.0,1199.0,1191.0,1.0,1951.0,310,1.0,1934267328.0,24.0,10002133.0,0.0,False
625,19,631,1,4,421.0,20.0,142.0,1.0,1199.0,1191.0,1.0,1951.0,310,1.0,1934267328.0,24.0,10002133.0,0.0,False
88,4,219,0,2,221.0,6.0,0.0,1.0,389.0,377.0,0.0,1961.0,310,1.0,2566875753.0,-74.0,10004552.0,214.0,False
745,4,234,0,2,221.0,6.0,0.0,1.0,389.0,377.0,0.0,1961.0,310,1.0,2566875753.0,-74.0,10004552.0,214.0,False
89,2,135,1,7,0.0,74.0,0.0,1.0,253.0,246.0,1.0,1977.0,330,15.0,2437863294.0,-296.0,10003314.0,0.0,False
1014,2,128,1,7,0.0,74.0,0.0,1.0,253.0,246.0,1.0,1977.0,330,15.0,2437863294.0,-296.0,10003314.0,0.0,False
90,11,17906,90,4,422.0,0.0,142.0,1.0,47866.0,47847.0,0.0,1998.0,160,0.0,1960566200.0,50.0,10002168.0,0.0,True
890,11,17547,114,4,422.0,0.0,142.0,1.0,47866.0,47847.0,0.0,1998.0,160,0.0,1960566200.0,50.0,10002168.0,0.0,True
